storage,sr,tr,time
s,0.01,12h,198.92
s,0.01,1d,241.93
s,0.01,1w,611.62
s,0.01,2w,1430.37
s,0.01,1m,3331.17
s,0.02,12h,208.6
s,0.02,1d,250.94
s,0.02,1w,764.74
s,0.02,2w,1478.64
s,0.02,1m,3244.66
s,0.05,12h,275.09
s,0.05,1d,361.66
s,0.05,1w,1082.38
s,0.05,2w,2202.59
s,0.05,1m,4477.5
s,0.1,12h,317.97
s,0.1,1d,480.86
s,0.1,1w,1309.42
s,0.1,2w,2503.85
s,0.1,1m,5594.36
s,0.2,12h,443.52
s,0.2,1d,570.23
s,0.2,1w,1557.46
s,0.2,2w,2942.2
s,0.2,1m,5893.1
s,0.4,12h,601.06
s,0.4,1d,862.69
s,0.4,1w,2246.12
s,0.4,2w,4135.36
s,0.4,1m,7453.88
t,0.01,12h,884.56
t,0.01,1d,827.07
t,0.01,1w,1639.06
t,0.01,2w,2351.41
t,0.01,1m,3333.07
t,0.02,12h,866.72
t,0.02,1d,835.97
t,0.02,1w,1628.28
t,0.02,2w,2375.16
t,0.02,1m,3314.59
t,0.05,12h,904.12
t,0.05,1d,870.02
t,0.05,1w,1707
t,0.05,2w,2415.37
t,0.05,1m,3431.66
t,0.1,12h,947.92
t,0.1,1d,912.76
t,0.1,1w,1868.35
t,0.1,2w,2742.15
t,0.1,1m,3797.51
t,0.2,12h,1053.27
t,0.2,1d,1024.81
t,0.2,1w,2080.57
t,0.2,2w,3054.32
t,0.2,1m,4334.06
t,0.4,12h,1151.63
t,0.4,1d,1147.94
t,0.4,1w,2404.51
t,0.4,2w,3552.1
t,0.4,1m,5306.02